Aardam;ADM
Aarlanderveen;ALN
Abbenes;ABS
Abcoude;ABC
Achterveld;ATB
Aerdt;AER
Afferden;AFFE
Alphen aan den Rijn;APN
Altweerheide;ALTW
Altweerheide;ALTW
America;AMER
Amerongen;AMR
Amersfoort;AFT
Ammerstol;AML
Andelst;AND 
Angeren;AGN
Arcen;ARCE
Arnhem;AH
Austerlitz;AUL
Baambrugge;BBR
Baarlo;BAAR
Baarn;BRN
Baexem;BAEX
Baexem;BAEX
Barneveld;BNV
Barneveld;BNV
Beegden;BEEG
Beesel;BEES
Belfeld;BELF
Bemmel;BML
Bennekom;BNK
Benschop;BNS
Benthuizen;BHN
Bergambacht;BAT
Bergen;BERG
Bergschenhoek;BSK
Beringe;BERI
Berkel en Rodenrijs;BES
Berkenwoude;BKE
Bilthoven;BHV
Bleiswijk;BWK
Blerick;BLER
Blitterswijck;BLIT
Bodegraven;BDN
Bosch en Duin;BDN
Boskoop;BKP
Breinsdorp;BDP
Breukelen;BRK
Broekhuizenvorst;BROK
Budel;BUDE
Budel;BUDE
Buggenum;BUGG
Bunnik;BNK
Bunschoten;BUN
Castenray;CAST
Cothen;CTH
De Bilt;DBT
De Hoef;DHF
De Kaag;KAG
de Lier;DLR
De Meern;MER
De Steeg;STG
De Valk;VLK
De Zilk;DZK
Delfgauw;DGW
Delft;DLT
Den Dolder;DLR
Den Hoorn;DHN
Dieren;DRN 
Doesburg;DBG
Doesburg;DOE 
Doorn;DRN
Doornenburg;DNB 
Doorwerth;DRW 
Driebergen;DRB
Driebruggen;DBN
Driel;DRL 
Duiven;DVN 
Echt;ECHT
Ede;EDE
Eemnes;ENS
Eindhoven;EIN
Ell;ELL
Ell;ELL
Ellecom;ELC
Elst;ELS
Elst;ELS
Everdingen;EVD
Evertsoord;EVER
Garderen;GRD
Gendt;GNT
Gennep;GENN
Gouda;GDA
Gouderak;GDK
Grashoek;GRAS
Grathem;GRAT
Groenekan;GRK
Grubbenvorst;GRUB
Haarzuilens;HRZ
Haastrecht;HTT
Haelen;HAEL
Hagestein;HAG
Haler;HALE
Harmelen;HAR
Harskamp;HSK
Hazerswoude;HWE
Hazerswoude-Dorp;HZD
Hazerswoude-Rijndijk;HZR
Heel;HEEL
Heelsum;HLS
Hegelsom;HEGE
Heibloem;HEIB
Heide;HEID
Heijen;HEIJ
Hekendorp;HKD
Hekendorp;HKP
Helden;HELD
Helenaveen;HEL
Hemmen;HEM
Herkenbosch;HERK
Herten;HERT
Herveld;HRV
Heteren;HET
Heythuysen;HEYT
Heythuysen;HEYT
Hillegom;HLM
Hoek van Holland;HVD
Hoevelaken;HVH
Hollandse Rading;HRD
Homoet;HMT
Hoogland;HLD
Hooglanderveen;HLV
Hoogmade;HME
Horn;HORN
Horst;HORS
Houten;HTN
Huis ter Heide;HTH
Huissen;HUI
Hunsel;HUNS
Hunsel;HUNS
IJsselstein;IJS
Ittervoort;ITTE
Ittervoort;ITTE
Kamerik;KMR
Katwijk;KWK
Kelpen - Oler;KLPO
Kelpen – Oler;KLPO
Kessel;KESS
Kesseleik;KESE
Kockengen;KKN
Koningsbosch;KONI
Koningslust;KONL
Kootwijkerbroek;KWB
Koudekerk;KDK
Koudekerk aan den Rijn;KAR
Krimpen aan de Lek;KAL
Krimpen aan den Ijssel;KAY
Kronenberg;KRON
Kwintsheul;KHL
Laag Soeren;LSO 
Lage Vuursche;LGV
Langbroek;LBR
Leersum;LRS
Leiden;LDN
Leiderdorp;LDP
Leidschendam;LSM
Leidschendam;LSM
Leimuiden;LMN
Lekkerkerk;LKK
Leunen;LEUN
Leveroy;LEVE 
Leveroy;LEVE
Liemeer;LMR
Linne;LINN
Linschoten;LIN
Lisse;LSE
Lisserbroek;LSK
Lobith;LOB
Loenen aan de Vecht;LAV
Loenersloot;LNS
Lommel;LOMM
Lopik;LOP
Lopik;LPK
Lopikerkapel;LPK
Lottum;LOTT
Lunteren;LUN
Maarheeze;MAAR
Maarheeze;MAAR
Maasbracht;MBRA
Maasbree;MBRE
Maasdijk;MDK
Maasland;MLD
Maassluis;MSS
Meerlo;MEER
Meijel;MEIJ
Meijel;MEIJ
Melderslo;MELD
Melick;MELI
Merselo;MERS
Meterik;METE
Mijdrecht;MDR
Milsbeek;MILS
Moerkapelle;MKE
Monster;MSR
Montfort;MONT
Moordrecht;MDT
Naaldwijk;NAK
Nederweert;NEDE
Nederweert;NEDE
Nederweert - Eind;EIND
Nederweert – Eind;EIND
Neer;NEER
Neeritter;NERI
Nieuw Vennep;NVP
Nieuwe Wetering;NWG
Nieuwegein;NWG
Nieuwer ter Aa;NTA
Nieuwerbrug;NBG
Nieuwerkerk aan den Ijssel;NAY
Nieuwkoop;NKP
Nieuwstad;NIEU
Nieuwveen;NVN
Nigtevecht;NGV
Nijkerk;NK
Noorden;NDN
Noordwijk;NWK
Noordwijkerhout;NWT
Nootdorp;NDP
Nunhem;NUHN
Odijk;ODK
Odilienberg Sint;ODIL
Oegstgeest;OGT
Ohe en Laak;OHE
Oirlo;OIRL
Oosterbeek;OBK 
Oosterhout;OSH
Oostrum;OOST
Ospel;OSPE
Ospel;OSPE
Otterlo;OTL
Ottersum;OTTE
Oud Zeilen;OZL
Oude Ade;OAE
Oude Wetering;OWG
Ouderkerk;OKK
Ouderkerk aan den Ijssel;OAY
Oudewater;ODW
Oudewater;OWT
Overloon;OVER
Pannerden;PND 
Panningen;PANN
Papekop;PPK
Pijnacker;PAR
Poeldijk;PDK
Polsbroek;PBR
Polsbroek;PBK
Posterholt;POST
Putten;PTN 
Reeuwijk;RWK
Renkum;RK
Renswoude;RWD
Reuver;REUV
Rheden;RHD
Rhenen;RHN
Rijnsaterswoude;RAE
Rijnsburg;RBG
Rijpwetering;RWG
Rijswijk;RSK
Roelofarendsveen;RLN
Roermond;ROER
Roggel;ROGG
Roosteren;ROOS
Rotterdam:Rdam;
Rozendaal;ROZ
Sassenheim;SSM
Schalkwijk;SCW
Scherpenzeel;SPZ
Schipluiden;SLN
Schoonhoven;SHN
Sevenum;SEVE
's-Gravenhage;DHG
's-Gravenzande;GVE
Siebergenwald;SIEB
Sint Joost;STJO
Slijk-Ewijk;SEW
Snelrewaard;SNW
Soest;SST
Soestduinen;SDN
Soesterberg;STB
Spankeren;SPA
Steijl;STEY
Stevensweert;STEV
Stolwijk;SWK
Stolwijkersluis;SWS
Stoutenburg;SBG
Stramproy;STRA
Stroe;STR
Susteren;SUST
Swalmen;SWAL
Swalmen;SWAL
Swartbroek;SWAR
Swolgen;SWOL
't Goy;GOY
Tegelen;TEGE
Ter Aar;TAR
Ter Heijde;THE
Terschuur;TSC
Thorn;THOR
Tienhoven;THV
Tienroy;TIEN
Tolkamer;TLK 
Tungelroy;TUNG
Tungelroy;TUNG
Utrecht;UTR
Valburg;VLB
Valkenburg zh;VKG
Veenendaal;VND
Velden;VELD
Velp;VLP
Venlo;VENL
Venray;VENR
Vianen;VIA
Vinkeveen;VIV
Vleuten;VLT
Vlist;VST
Vlodrop;VLOD
Voorburg;VBG
Voorhout;VHT
Voorschoten;VSN
Voorthuizen;VTH
Vredepeel;VRED
Vreeland;VRL
Vrouwenakker;VAR
Waarder;WDR
Waddinxveen;WDN
Wageningen;WAG
Wansum;WANS
Warmond;WMD
