Abcoude;ABC
Amerongen;AMR
Amersfoort;AFT
Achterveld;ATB
Austerlitz;AUL
Baambrugge;BBR
Bosch en Duin;BDN
Bilthoven;BHV
Bunnik;BNK
Benschop;BNS
Barneveld;BNV
Breukelen;BRK
Baarn;BRN
Bunschoten;BUN
Cothen;CTH
De Bilt;DBT
De Hoef;DHF
Den Dolder;DLR
Driebergen;DRB
Doorn;DRN
Elst;ELS
Eemnes;ENS
Everdingen;EVD
't Goy;GOY
Groenekan;GRK
Hagestein;HAG
Altweerheide;ALTW
Baexem;BAEX
Budel;BUDE
Nederweert – Eind;EIND
Ell;ELL
Heythuysen;HEYT
Hunsel;HUNS
Ittervoort;ITTE
Kelpen – Oler;KLPO
Leveroy;LEVE 
Maarheeze;MAAR
Meijel;MEIJ
Nederweert;NEDE
Ospel;OSPE
Roermond;ROER
Roggel;ROGG
Stramproy;STRA
Swalmen;SWAL
Swartbroek;SWAR
Thorn;THOR
Tungelroy;TUNG
Weert;WEER 
Harmelen;HAR
Hekendorp;HKD
Hoogland;HLD
Hooglanderveen;HLV
Hollandse Rading;HRD
Haarzuilens;HRZ
Huis ter Heide;HTH
Houten;HTN
IJsselstein;IJS
Kockengen;KKN
Kamerik;KMR
Loenen aan de Vecht;LAV
Langbroek;LBR
Lage Vuursche;LGV
Loenersloot;LNS
Lopik;LOP
Lopikerkapel;LPK
Leersum;LRS
Linschoten;LIN
De Meern;MER
Mijdrecht;MDR
Nigtevecht;NGV
Nieuwer ter Aa;NTA
Nieuwegein;NWG
Odijk;ODK
Oudewater;ODW
Oud Zeilen;OZL
Polsbroek;PBR
Papekop;PPK
Rhenen;RHN
Renswoude;RWD
Stoutenburg;SBG
Schalkwijk;SCW
Soestduinen;SDN
Soest;SST
Soesterberg;STB
Tienhoven;THV
Utrecht;UTR
Vianen;VIA
Vinkeveen;VIV
Vleuten;VLT
Veenendaal;VND
Vreeland;VRL
Wijk bij Duurstede;WBD
Woudenberg;WDB
Wekhoven;WHV
Wilnis;WNI
Woerden;WRD
Westbroek;WSB
Zegveld;ZGV
Zeist;ZST
Berkel en Rodenrijs;BES
Bergschenhoek;BSK
Bleiswijk;BWK
Delfgauw;DGW
's-Gravenhage;DHG
Den Hoorn;DHN
de Lier;DLR
Delft;DLT
's-Gravenzande;GVE
Hoek van Holland;HVD
Kwintsheul;KHL
Leidschendam;LSM
Maasdijk;MDK
Maasland;MLD
Monster;MSR
Maassluis;MSS
Naaldwijk;NAK
Nootdorp;NDP
Pijnacker;PAR
Poeldijk;PDK
Rijswijk;RSK
Schipluiden;SLN
Ter Heijde;THE
Voorburg;VBG
Wassenaar;WSR
Wateringen;WTN
Zoetermeer;ZTR
Abbenes;ABS
Aardam;ADM
Aarlanderveen;ALN
Ammerstol;AML
Alphen aan den Rijn;APN
Bergambacht;BAT
Bodegraven;BDN
Breinsdorp;BDP
Benthuizen;BHN
